$ DENI 2011 2017-11-13 by 1_CWMS_weather_station_read_plot_v3.py<6 hours of missing data was deleted, >=6 hours missing data filled with LWS_2011_2015_met.csv,,,,,
226.875000,18.44,3.74,1.29,0.41,0,734.29
226.916670,17.71,3.09,1.35,0.47,0,734.39
226.958330,17.99,5.27,1.37,0.5,0,734.59
227.000000,16.52,7.86,1.31,0.21,2,734.49
227.041670,16.58,7.28,1.7,0.26,0,734.39
227.083330,15.17,10.12,1.49,0.27,0,734.19
227.125000,14.18,8.81,1.4,0.44,0,734.29
227.166670,13.78,8.22,1.78,0.29,7.5,734.59
227.208330,13.58,8.21,1.65,0.35,10,735.29
227.250000,13.85,9.5,1.32,0.31,7.5,735.09
227.291670,15.86,10.97,1.1,0.9,2,734.99
227.333330,18.68,7.81,1.65,3.78,0,734.79
227.375000,20.02,6.51,2.21,4.26,0,734.69
227.416670,21.08,6.92,2.24,4.03,2,734.99
227.458330,22.61,6.54,4.02,4.4,4.4,735.79
227.500000,22.22,8.42,3.13,4.92,7.5,736.29
227.541670,22.05,5.91,3.37,4.75,10,736.69
227.583330,21.11,5.38,2.07,4.82,7.5,737.09
227.625000,23.27,6.62,2.5,4.77,2,737.29
227.666670,23.27,7.93,2.19,4.93,0,737.49
227.708330,24.16,5.67,1.9,4.37,0,737.69
227.750000,22.27,6.86,1.52,6.23,0,737.99
227.791670,18.71,8.46,1.24,0.16,0,738.19
227.833330,16.03,7.89,1.36,0.2,4.4,738.39
227.875000,14.97,8.77,1.67,0.45,0,738.49
227.916670,14.37,9,2.23,0.41,0,738.59
227.958330,12.17,8.09,1.73,0.46,0,738.49
228.000000,11.57,7.95,2.47,0.42,0,737.99
228.041670,11.97,7.76,2.47,0.38,0,737.69
228.083330,10.24,7.41,2,0.53,0,737.19
228.125000,9.9,7.15,2.23,0.59,0,736.69
228.166670,9.5,6.97,2.39,0.57,0,736.19
228.208330,9.63,6.66,2.92,0.21,0,735.69
228.250000,9.23,7.18,2.1,0.54,0,735.19
228.291670,13.41,7.81,1.11,0.79,0,734.69
228.333330,16.35,8.52,1.18,2.63,0,734.29
228.375000,18.7,7.32,1.01,2.84,0,734.19
228.416670,20.3,8.07,1.03,3.85,0,734.19
228.458330,22.83,8.93,1.56,4.03,0,734.69
228.500000,24.66,7.87,2.07,4.04,0,735.19
228.541670,25.94,4.59,1.56,3.89,0,735.59
228.583330,27.05,5.76,1.08,2.29,0,735.69
228.625000,28.61,3.6,1.47,4.14,0,735.79
228.666670,28.66,3.6,1.22,3.76,0,735.89
228.708330,26.38,7.84,0.83,2.04,0,736.29
228.750000,23.66,8.46,0.5,0.94,0,736.39
228.791670,21.16,4.87,1.29,0.27,0,736.69
228.833330,18.37,4.9,1.48,0.36,0,737.09
228.875000,17.3,5.51,1.49,0.62,0,737.39
228.916670,14.57,5.9,2,0.37,0,737.49
228.958330,13.56,6.12,2.2,0.59,0,737.19
229.000000,12.91,6.16,2.11,0.42,0,736.79
229.041670,12.84,6.7,2.06,0.35,0,736.29
229.083330,12.37,6.06,1.95,0.31,0,735.59
229.125000,11.85,5.56,2.09,0.42,0,734.89
229.166670,10.91,6.52,1.9,0.3,0,734.29
229.208330,10.64,5.87,2.27,0.48,0,733.59
229.250000,10.24,6.76,1.51,0.42,0,732.89
229.291670,14.2,8.13,0.9,0.96,0,732.39
229.333330,16.76,7.88,2.25,2.42,0,732.29
229.375000,19.3,7.95,0.87,2.41,0,732.29
229.416670,21.72,7.33,0.96,2.58,0,732.59
229.458330,23.11,8.63,1.5,3.89,0,733.39
229.500000,26.5,9.5,0.92,3.7,0,733.99
229.541670,29.33,7.06,1.03,3.72,0,734.39
229.583330,30.44,6.87,1.57,2.75,0,734.69
229.625000,31.55,3.7,1.46,3.8,0,734.99
229.666670,31.77,1.36,2.41,4.84,0,735.29
229.708330,31,1.51,2.41,4.57,0,735.69
229.750000,28.72,2.77,1.1,0.02,0,736.19
229.791670,23.72,4.63,0.8,0.37,0,736.49
229.833330,21.11,4.34,1.02,0.15,0,736.89
229.875000,19.25,4.88,1.37,0.23,0,737.59
229.916670,17.64,5.41,1.32,0.25,0,737.79
229.958330,16.58,5.6,1.51,0.22,0,737.69
230.000000,13.96,5.57,2.2,0.42,0,737.39
230.041670,14.11,6.13,2.19,0.35,0,736.99
230.083330,12.3,5.26,2.37,0.58,0,736.29
230.125000,12.1,5.61,1.72,0.28,0,735.59
230.166670,11.43,5.2,2.21,0.27,0,735.19
230.208330,10.11,5.39,1.74,0.52,0,734.59
230.250000,10.71,6.15,1.67,0.27,0,734.09
230.291670,14.61,7.85,1.08,1.28,0,733.69
230.333330,16.82,8.1,1.08,2.37,0,733.39
230.375000,18.62,8.82,1.2,3.81,0,733.39
230.416670,20.97,8.15,1.1,3.79,0,733.49
230.458330,25.33,4.19,1.07,2.77,0,733.99
230.500000,27.33,2.88,1.24,3.06,0,734.49
230.541670,27.77,5.31,2.36,3.99,0,734.69
230.583330,28.11,6.72,3.71,4.3,0,735.09
230.625000,28.66,1.27,2.91,4.14,0,735.39
230.666670,29.61,2.13,2.85,4.32,0,735.39
230.708330,28.72,3.26,1.64,4.73,0,735.59
230.750000,27.05,5.82,0.87,5.32,0,735.79
230.791670,22.61,7.44,1.31,0.56,0,735.89
230.833330,19.77,6.17,1.3,0.26,0,735.89
230.875000,17.63,6.21,1.44,0.46,0,736.09
230.916670,15.91,6.06,1.98,0.53,0,736.39
230.958330,15.11,6.64,1.76,0.27,0,736.09
231.000000,13.3,6.93,2.1,0.44,0,735.79
231.041670,13.51,6.81,2.06,0.33,0,735.49
231.083330,13.04,6.72,1.93,0.36,0,734.89
231.125000,12.71,7.23,1.72,0.26,0,734.29
231.166670,11.51,6.33,1.85,0.34,0,733.69
231.208330,10.98,7.01,1.75,0.32,0,733.19
231.250000,11.11,7.18,1.73,0.39,0,732.59
231.291670,14.81,8.56,0.98,0.9,0,732.09
231.333330,17.5,8.42,1.42,2.44,0,731.99
231.375000,18.75,8.75,1.12,3.79,0,731.79
231.416670,21.55,8.87,1.6,4.03,0,732.19
231.458330,23.77,8.03,1.27,3.8,0,732.89
231.500000,26.5,6.72,1.5,3.88,0,733.19
231.541670,28.72,8.72,2.23,3.6,0,733.59
231.583330,30.11,6.16,1.74,3.98,0,733.89
231.625000,30.11,9.3,2.13,3.7,0,734.09
231.666670,31,4.83,1.24,3.91,0,733.99
231.708330,29.94,3.86,1.85,0.12,0,734.19
231.750000,28,5.28,1.19,6.15,0,734.39
231.791670,23.05,8.15,0.93,0.31,0,734.39
231.833330,20.7,6.89,1.05,0.07,0,734.69
231.875000,19.25,6.76,1.45,0.48,0,734.89
231.916670,17.97,6.46,1.3,0.2,0,735.09
231.958330,15.91,6.62,1.7,0.23,0,734.99
232.000000,14.43,6.27,1.97,0.33,0,734.59
232.041670,13.5,6.42,1.8,0.38,0,734.09
232.083330,13.25,6.17,1.68,0.36,0,733.49
232.125000,12.84,6.18,1.93,0.27,0,732.69
232.166670,11.9,6.08,2.24,0.47,0,732.09
232.208330,11.57,6.96,2.04,0.44,0,731.59
232.250000,11.45,6.94,1.74,0.26,0,730.99
232.291670,14.61,7.83,1.25,0.77,0,730.59
232.333330,17.56,9.12,0.92,2.3,0,730.29
232.375000,19.76,7.91,1.26,2.61,0,730.19
232.416670,21.61,10.07,1.14,3.27,0,730.39
232.458330,23.88,9.46,1.73,4.07,0,731.09
232.500000,26.77,7.1,1.12,3.69,0,731.39
232.541670,28.22,10.01,1.2,2.82,0,731.79
232.583330,31.05,4.88,1.08,2.69,0,732.19
232.625000,31.38,10.53,1.21,3.46,0,732.39
232.666670,32.61,6.03,1.06,3.68,0,732.79
232.708330,29.88,12.92,0.53,2.44,0,732.89
232.750000,26.11,13.57,0.52,1.1,0,732.99
232.791670,23.22,8.65,1.23,0.31,0,733.19
232.833330,20.77,7.4,1.59,0.33,0,733.59
232.875000,19.04,8.05,1.5,0.27,0,733.99
232.916670,18.37,8.33,1.22,0.12,0,734.09
232.958330,16.11,8.64,1.98,0.62,0,734.09
233.000000,15.71,8.31,2.12,0.25,0,733.79
233.041670,15.64,7.93,1.79,0.47,0,733.49
233.083330,14.65,8.63,1.81,0.41,0,732.79
233.125000,13.51,7.67,2.19,0.42,0,731.99
233.166670,13.31,7.96,2.13,0.49,0,731.29
233.208330,11.63,7.5,1.96,0.57,0,730.59
233.250000,12.72,8.15,1.63,0.31,0,729.99
233.291670,15.68,9.61,1.15,0.72,0,729.69
233.333330,18.62,10.5,0.91,2.38,0,729.39
233.375000,20.43,9.71,1.11,2.59,0,729.29
233.416670,22.61,11.38,1.14,3.73,0,729.49
233.458330,25.38,9.86,0.95,3.2,0,730.19
233.500000,28.88,9.32,0.91,2.93,0,730.69
233.541670,31.22,9.43,0.89,3.17,0,730.89
233.583330,33,7.4,1.37,3.35,0,731.09
233.625000,33.11,2.92,0.96,2.28,0,731.59
233.666670,31.94,10.93,0.76,2.06,0,731.69
233.708330,29.44,6.28,0.97,1.82,0,731.89
233.750000,27,9.39,0.6,0.59,0,732.29
233.791670,23.88,7.2,0.71,0.07,0,732.49
233.833330,20.77,7.07,1.58,0.46,0,732.79
233.875000,20.24,7.5,1.28,0.27,0,733.19
233.916670,19.31,7.99,1.32,0.27,0,733.19
233.958330,18.05,8.46,1.7,0.35,0,732.79
234.000000,17.38,8.47,1.66,0.18,0,732.39
234.041670,16.38,8.19,1.95,0.36,0,731.89
234.083330,15.91,8.23,1.75,0.42,0,731.09
234.125000,13.84,8.03,1.87,0.43,0,730.59
234.166670,13.31,8.07,1.81,0.48,0,730.09
234.208330,12.71,7.8,2.07,0.39,0,729.89
234.250000,13.45,8.57,1.8,0.34,0,729.59
234.291670,16.2,10.58,1.28,1.32,0,729.99
234.333330,18.21,9.68,0.78,0.95,0,729.89
234.375000,20.83,10.4,1.12,3.18,0,729.99
234.416670,22.72,10.4,1.22,3.65,0,730.59
234.458330,26.38,12.02,1.08,2.97,0,731.59
234.500000,28.77,12.16,1.08,3.16,0,732.09
234.541670,32.72,8.05,1.17,3.71,0,732.49
234.583330,33.77,6.31,2.72,4.45,0,732.99
234.625000,32.94,8.19,3.27,4.43,0,733.59
234.666670,32.66,3.97,3.8,4.37,0,733.79
234.708330,32.77,4.52,1.79,4.99,0,734.49
234.750000,29.38,7.1,1.71,0.12,0,734.99
234.791670,26.72,5.94,1.1,0.37,0,735.39
234.833330,24.33,6.19,1.5,0.31,0,735.89
234.875000,22.94,7.73,1.05,0.23,0,736.29
234.916670,20.72,7.55,1.15,0.23,0,736.39
234.958330,20.25,7.85,0.93,0.36,4.4,736.29
235.000000,19.86,9,1.66,0.59,0,735.89
235.041670,19,6.69,1.33,0.3,0,735.59
235.083330,17.32,5.97,1.49,0.21,0,735.09
235.125000,15.98,5.73,1.64,0.26,0,734.49
235.166670,15.11,5.48,1.65,0.25,0,734.09
235.208330,13.98,5.37,1.8,0.47,0,733.49
235.250000,14.32,6.67,1.31,0.26,0,732.99
235.291670,17.54,9.2,0.76,1.11,0,732.79
235.333330,19.96,10.34,1.62,2.47,0,732.69
235.375000,21.88,9.42,0.93,3.52,0,732.59
235.416670,24.11,9.68,0.97,3.32,0,732.99
235.458330,25.61,10.96,1.22,3.77,0,733.59
235.500000,28.16,9.67,1.81,2.61,0,733.99
235.541670,29.44,10.46,1.31,2.57,0,734.19
235.583330,30.61,9.55,1.58,3.73,0,734.49
235.625000,31.05,9.7,1.58,3.97,0,734.49
235.666670,31.27,9.12,1.74,4.05,0,734.39
235.708330,30.72,9.07,1.43,6.12,0,734.59
235.750000,28.72,10.3,1.39,6.18,0,734.89
235.791670,24.16,12.17,0.66,0.33,0,734.89
235.833330,22.16,12.44,0.93,0.68,0,735.09
235.875000,20.57,11.98,1.15,0.8,0,735.39
235.916670,19.72,11.81,1.36,0.35,0,735.29
235.958330,17.91,11.54,1.5,0.36,0,735.09
236.000000,16.91,11.47,1.81,0.56,0,734.69
236.041670,15.71,11.3,1.64,0.47,0,733.99
236.083330,16.11,11.21,1.63,0.31,0,733.29
236.125000,15.31,11.32,1.77,0.27,0,732.29
236.166670,14.45,11.67,1.69,0.28,0,731.59
236.208330,14.52,10.92,1.61,0.37,0,730.89
236.250000,13.92,11.06,2.06,0.47,0,730.19
236.291670,17.74,12.29,1.06,1.14,0,729.69
236.333330,20.16,12.23,1.86,2.4,0,729.29
236.375000,22.16,12.17,1.04,2.98,0,729.59
236.416670,25.55,12.97,0.89,2.64,0,729.69
236.458330,25.5,13.42,1.17,3.89,0,730.19
236.500000,29.61,12.04,1.23,3.66,0,730.79
236.541670,31.5,10.63,1.44,3.79,0,731.69
236.583330,33.44,9.79,1.02,2.29,0,732.99
236.625000,35.55,8.84,0.95,3.35,0,733.49
236.666670,34.5,11.63,0.65,2.74,0,731.59
236.708330,33.05,13.89,1.39,4.81,0,732.09
236.750000,30.33,13.11,0.59,3.95,0,732.19
236.791670,25.22,12.4,1.85,0.39,0,731.99
236.833330,24,11.87,0.61,0.39,0,732.39
236.875000,22.72,11.8,1.06,0.36,2,732.79
236.916670,22.33,11.67,0.85,0.38,7.5,732.59
236.958330,21.72,12.81,0.92,0.62,0,732.89
237.000000,22.38,13.75,1.22,1.71,0,733.39
237.041670,22.22,13.79,2.43,1.57,0,732.99
237.083330,20.59,12.51,1.5,0.12,0,732.59
237.125000,20.12,12.27,1.13,0.35,4.4,732.39
237.166670,19.46,13.16,2.51,0.06,0,731.79
237.208330,19.13,13.06,1.82,0.32,0,731.29
237.250000,19.53,13.52,0.95,0.69,0,730.79
237.291670,21.5,14.33,1.56,0.77,0,730.49
237.333330,23.88,14.07,0.63,2.69,2,730.29
237.375000,23.11,15.23,1.74,2.06,2,730.19
237.416670,26.44,15.84,2.41,3.85,0,730.69
237.458330,29.5,12.91,0.93,2.63,0,731.49
237.500000,28,16.22,2.05,2.17,0,731.99
237.541670,32.44,10.65,1.35,3.15,0,732.59
237.583330,33.44,11.26,2.71,3.63,0,732.99
237.625000,32.5,12.16,1.61,2.22,0,733.29
237.666670,33.05,11.01,0.83,2.16,0,733.39
237.708330,30.61,14.1,0.98,1.93,0,733.49
237.750000,28.33,12.93,0.56,1.18,0,733.69
237.791670,26.05,12.69,1.31,0.15,0,733.99
237.833330,23.5,11.76,1.23,0.35,0,734.29
237.875000,22.61,12.06,1.1,0.26,2,734.69
237.916670,21.77,12.53,1.19,0.19,0,734.79
237.958330,20.45,12,1.39,0.36,0,734.59
238.000000,18.98,12,1.63,0.41,0,734.19
238.041670,18.71,12.47,1.56,0.24,0,733.79
238.083330,18.45,12.07,1.81,0.33,0,733.29
238.125000,16.85,11.78,1.7,0.41,0,732.59
238.166670,16.92,12.85,1.74,0.24,0,731.89
238.208330,16.05,11.88,1.79,0.46,0,731.79
238.250000,15.64,11.75,1.64,0.42,0,731.69
238.291670,18.87,13.42,0.86,0.89,0,731.59
238.333330,20.95,13.7,1.25,2.51,0,731.39
238.375000,23.72,12.87,0.91,2.69,0,729.89
238.416670,25.27,12.98,1.25,3.92,0,730.39
238.458330,27.94,12.52,1.12,3.66,0,731.19
238.500000,30.88,11.43,1.61,3.97,0,731.79
238.541670,32.16,11.63,1.37,2.59,0,732.19
238.583330,35.22,10.92,1.29,3.26,0,732.59
238.625000,34.88,12.78,1.5,3.73,0,732.99
238.666670,35.16,10.83,1.34,3.91,0,733.29
238.708330,30.16,16.12,1.56,2.01,0,733.59
238.750000,28.88,15.33,0.52,0.86,0,733.79
238.791670,26.55,12.45,0.93,0.49,0,734.29
238.833330,24.77,12.05,1.13,0.37,0,734.59
238.875000,22.94,12.25,1.17,0.29,0,735.09
238.916670,21.83,12.76,1.15,0.43,0,735.19
238.958330,21.27,12.11,1.67,0.28,0,735.29
239.000000,20.52,12.27,1.38,0.27,0,735.29
239.041670,19.25,12.15,1.54,0.32,0,734.89
239.083330,17.97,12.19,1.56,0.41,0,734.39
239.125000,17.92,11.67,1.71,0.36,0,733.99
239.166670,16.52,11.87,1.51,0.42,0,733.49
239.208330,16.31,11.67,1.89,0.33,0,732.89
239.250000,16.25,12.23,1.55,0.28,0,732.19
239.291670,19.07,13.27,1.01,0.96,0,731.89
239.333330,20.95,13.43,1.3,2.35,0,731.49
239.375000,23.44,13.96,1.22,2.47,0,731.39
239.416670,26.27,13.96,1.05,2.55,0,731.79
239.458330,28.27,13.06,1.07,3.3,0,732.49
239.500000,29.94,12.6,0.99,3.79,0,732.89
239.541670,33.27,11.01,1.09,3.58,0,733.19
239.583330,34.05,9.47,1.22,2.24,0,733.39
239.625000,33.72,9.14,1.11,2.37,0,733.59
239.666670,33.38,11.71,0.76,2.2,0,733.79
239.708330,32.38,11.67,0.84,1.92,0,733.99
239.750000,28.38,12.38,0.41,0.84,0,734.09
239.791670,26.11,10.91,1.06,0.33,0,734.29
239.833330,24.55,10.01,1.39,0.22,0,734.39
239.875000,23,12.06,1.22,0.56,0,734.69
239.916670,21.33,12.33,1.3,0.26,0,734.89
239.958330,20.78,10.73,1.88,0.34,0,734.49
240.000000,19.18,10.84,1.85,0.34,0,734.29
240.041670,18.65,10.83,1.78,0.29,0,733.49
240.083330,17.85,10.01,1.83,0.53,0,732.59
240.125000,16.52,10.45,1.7,0.31,0,731.59
240.166670,16.65,10.29,1.52,0.29,0,730.49
240.208330,15.31,10.27,2.02,0.43,0,729.59
240.250000,16.12,10.45,1.66,0.26,0,728.69
240.291670,18.68,12.11,1.12,1.36,0,727.99
240.333330,21.09,12.16,0.77,2.89,0,727.59
240.375000,23.88,11.98,1.61,2.25,0,727.59
240.416670,25.88,10.7,1.47,2.26,0,728.49
240.458330,27.44,12.55,1.07,3.74,0,727.99
240.500000,31.55,12.7,0.9,2.95,0,728.79
240.541670,34,12.35,0.98,3.56,0,728.89
240.583330,35.83,11.35,0.78,2.12,0,729.89
240.625000,36,13.09,0.64,3.7,0,729.69
240.666670,36,10.56,0.21,2.16,0,730.89
240.708330,30.66,14.06,0.58,1.32,4.4,731.29
240.750000,28.88,16.78,0.51,0.08,0,731.59
240.791670,27.27,15.77,1.06,5.54,0,732.09
240.833330,31.33,7.12,2.62,0.34,0,729.49
240.875000,26.88,10.85,1.37,0.43,0,731.09
240.916670,25.22,9.11,1.58,0.35,2,731.59
240.958330,24.44,12.24,1.94,5.69,7.5,731.59
241.000000,24.38,9.89,1.59,0.34,4.4,731.59
241.041670,20.58,13.93,2.72,0.32,0,731.29
241.083330,22.61,13.78,3.08,0.09,7.5,730.89
241.125000,20.79,13.98,1.27,0.37,0,730.39
241.166670,20.52,15.07,0.98,0.42,0,729.89
241.208330,20.12,15.11,2.36,4.52,0,729.19
241.250000,21.22,13.47,1.48,5.6,0,728.79
241.291670,21.22,15.2,1.6,0.37,0,728.39
241.333330,22.11,15.14,1.56,2.03,0,727.89
241.375000,23.22,15.22,1.55,2.13,0,727.89
241.416670,25.61,15.77,1.78,2.28,0,728.29
241.458330,27.44,12.86,1.58,2.33,0,728.89
241.500000,29,12.91,1.41,2.29,0,729.19
241.541670,30.61,13.62,1.17,3.38,0,729.29
241.583330,32,10.72,1.21,3.24,0,729.49
241.625000,32.16,9.63,1.25,3.64,0,729.79
241.666670,32.38,8.78,1.6,4.34,0,729.99
241.708330,29.5,13.37,0.62,1.73,0,729.99
241.750000,26.66,13.17,0.48,1.17,0,730.29
241.791670,24.72,10.75,1.19,0.51,0,730.69
241.833330,23.05,9.71,1.15,0.29,0,730.89
241.875000,20.91,9.98,1.04,0.28,0,731.29
241.916670,19.65,10.32,1.17,0.28,0,731.49
241.958330,19.11,10.16,2.04,0.37,0,731.59
242.000000,18.11,9.84,1.91,0.45,0,731.39
242.041670,16.25,10.05,1.86,0.54,0,731.09
242.083330,15.44,10.23,1.96,0.4,0,730.69
242.125000,15.64,9.8,1.98,0.3,0,729.99
242.166670,15.24,9.77,1.8,0.19,0,729.59
242.208330,14.72,9.71,2.41,0.37,0,729.09
242.250000,14.12,9.76,1.77,0.53,0,728.59
242.291670,16.47,11.32,1.07,0.89,0,728.69
242.333330,17.95,12.62,0.85,3.99,0,728.39
242.375000,20.36,9.97,1.15,3.98,0,728.49
242.416670,22.22,8.6,2.35,4.04,0,728.89
242.458330,24.11,7.09,1.75,3.93,0,729.29
242.500000,26.11,8.05,2.03,3.94,0,729.59
242.541670,26.5,8.38,2.28,3.74,0,729.49
242.583330,26.33,4.65,2.71,4.25,0,729.69
242.625000,26.33,3.48,4.36,4.39,0,729.59
242.666670,24.88,4.02,3.44,4.47,0,729.59
242.708330,24.05,7.49,1.15,4.33,0,730.09
242.750000,23.33,6.31,1.75,5.66,0,729.79
242.791670,19.58,8.16,1.44,0.35,0,730.09
242.833330,18.04,8.5,1.56,0.46,0,730.09
242.875000,16.38,7.9,2.05,0.37,0,730.49
242.916670,15.78,8,1.48,0.3,0,730.89
242.958330,14.64,8.09,1.54,0.4,0,731.29
243.000000,13.78,8.22,1.94,0.59,0,731.19
243.041670,13.58,8.45,2.03,0.33,0,730.99
243.083330,12.64,8.21,1.7,0.42,0,730.99
243.125000,12.77,8.06,1.53,0.46,0,730.69
243.166670,11.78,8.26,1.47,0.34,0,730.79
243.208330,11.92,8.02,1.8,0.31,0,730.59
243.250000,11.31,8.19,1.77,0.3,0,730.79
243.291670,14.07,9.71,1,0.34,0,730.89
243.333330,15.81,6.21,3.93,4.02,7.5,731.09
243.375000,17.08,6.5,4.2,4.26,10,731.49
243.416670,18.15,6.14,5.42,4.33,7.5,732.29
243.458330,20.1,5.63,5.02,4.34,2,732.99
243.500000,21.33,6.95,3.21,4.25,0,733.49
243.541670,22.22,5.58,3.71,4.22,0,733.89
243.583330,21.83,5.27,5.09,4.25,0,734.29
243.625000,22.94,5.48,2.7,4.84,0,734.79
243.666670,22.5,6.3,2.8,4.34,0,735.49
243.708330,22.05,4.85,1.88,4.76,7.5,735.79
243.750000,20.59,5.24,1.69,5.72,7.5,736.19
243.791670,18.51,5.46,1.46,6.04,7.5,736.59
243.833330,16.31,6.13,1.77,0.33,0,736.99
243.875000,14.63,6.33,1.62,0.2,0,737.59
243.916670,13.38,6,1.85,0.46,0,738.09
243.958330,12.51,6.05,2.49,0.25,7.5,738.19
244.000000,12.03,6.19,2.12,0.28,10,738.19
244.041670,11.58,6.38,2.16,0.28,10,737.99
244.083330,11.45,6.4,2.19,0.32,0,737.99
244.125000,11.78,6.37,1.85,0.29,4.4,737.69
244.166670,11.05,6.38,2.54,0.27,2,737.49
244.208330,10.57,6.77,2.53,0.22,0,736.89
244.250000,10.31,6.52,1.92,0.32,0,736.49
244.291670,12.53,8.5,1.35,0.71,0,736.09
244.333330,15.41,9.27,0.75,2.8,0,735.79
244.375000,18.1,6.81,1.32,2.68,0,735.49
244.416670,19.36,5.56,2.15,4.25,0,735.59
244.458330,20.68,4.01,2.02,4.18,0,735.89
244.500000,22,3.26,3.5,4.27,0,736.09
244.541670,22.72,2.55,3.02,4.37,0,735.99
244.583330,23.83,3.92,3.51,3.98,0,736.09
244.625000,23.88,0.65,3.18,4.28,0,735.99
244.666670,24.27,1.6,2.75,4.12,0,735.89
244.708330,23.55,2.86,3.57,4.36,0,735.99
244.750000,20.72,2.94,0.9,6.22,0,735.99
244.791670,17.71,2.71,1.66,0.21,0,736.29
244.833330,15.51,3.37,1.78,0.22,0,736.59
244.875000,15.31,3.66,1.97,0.41,0,737.29
244.916670,13.38,3.91,2.32,0.32,0,737.89
244.958330,11.97,4.02,2.02,0.36,0,738.19
245.000000,11.11,4.18,1.96,0.51,0,737.99
245.041670,12.18,4.68,1.53,0.37,0,737.99
245.083330,11.92,4.91,1.28,0.4,0,737.79
245.125000,12.12,5.57,1.25,0.33,0,737.69
245.166670,11.65,5.22,1.44,0.3,0,737.49
245.208330,11.52,5.6,1.18,0.38,0,737.39
245.250000,10.64,5.67,1.65,0.26,0,737.29
245.291670,12.87,7.81,1.18,0.72,0,737.19
245.333330,15.82,8.23,0.7,2.58,0,737.19
245.375000,18.77,6.75,1.15,3.79,0,737.29
245.416670,20.5,5.14,3.79,4.33,0,737.69
245.458330,21.5,3.83,3.43,4.28,0,738.49
245.500000,22.33,2.36,4.07,4.07,0,739.09
245.541670,23.61,1.13,3.43,4.58,0,739.59
245.583330,23.83,1.52,3.52,4.28,0,739.99
245.625000,24.22,1.05,3.84,4.29,0,740.19
245.666670,24.27,-1.29,2.77,4.65,0,740.39
245.708330,24.38,-0.81,2.19,4.62,0,740.69
245.750000,20.98,1.52,0.97,6.13,0,740.89
245.791670,17.37,2.33,1.43,0.28,0,740.99
245.833330,15.71,2.69,1.44,0.33,0,741.09
245.875000,13.96,2.7,1.62,0.43,0,741.39
245.916670,13.65,3.26,2.11,0.59,0,741.49
245.958330,10.56,3.07,1.95,0.35,0,741.29
246.000000,10.17,2.91,2.07,0.33,0,740.89
246.041670,9.9,2.38,1.98,0.54,0,740.29
246.083330,9.63,2.87,2.42,0.45,0,740.09
246.125000,8.37,2.57,2.17,0.37,0,738.69
246.166670,7.43,2.7,2.23,0.48,0,737.99
246.208330,7.23,2.8,2.53,0.56,0,737.49
246.250000,6.7,2.7,2.31,0.36,0,736.69
246.291670,9.65,4.29,1.65,0.57,0,736.29
246.333330,12.27,5.51,1.61,3.82,0,735.89
246.375000,15.43,4.53,0.89,2.96,0,735.59
246.416670,16.89,5.13,1.19,3.55,0,735.69
246.458330,19.76,5.48,1.3,3.67,0,736.19
246.500000,23.11,4.9,1.72,3.91,0,736.39
246.541670,25.22,2.64,1.28,3.96,0,736.59
246.583330,26.44,1.11,2.12,4.14,0,736.69
246.625000,27.22,2.42,1.61,4.09,0,736.79
246.666670,27.38,4.94,0.71,2.62,0,736.89
246.708330,25.22,7.06,1.03,3,0,736.89
246.750000,21.33,5.86,0.68,0.84,0,736.89
246.791670,18.83,3.68,1.43,0.23,0,737.09
246.833330,17.17,3.49,1.65,0.28,0,737.19
246.875000,15.24,4.43,1.45,0.28,0,737.39
246.916670,13.04,4.96,1.86,0.58,0,737.39
246.958330,13.04,5.06,2.27,0.46,0,736.99
247.000000,12.03,4.93,2.13,0.36,0,736.39
247.041670,11.11,4.92,1.75,0.35,0,735.89
247.083330,10.11,5.11,1.92,0.4,0,734.99
247.125000,9.83,4.69,2.34,0.31,0,733.99
247.166670,8.3,5.03,2.03,0.41,0,733.29
247.208330,8.57,4.98,2.09,0.52,0,732.59
247.250000,8.24,4.86,1.92,0.4,0,731.89
247.291670,11,6.29,1.8,0.62,0,731.49
247.333330,14.89,6.92,1.03,1.28,0,731.09
247.375000,17.3,6.58,2.11,2.53,0,730.89
247.416670,19.84,4.8,0.65,2.34,0,731.19
247.458330,23.33,5.46,1,2.67,0,731.69
247.500000,24.72,4.79,1.07,3.53,0,731.89
247.541670,27.05,6.17,1.5,3.92,0,732.19
247.583330,27.72,5.82,1.19,2.32,0,732.19
247.625000,28.94,5.23,0.8,2.27,0,732.49
247.666670,27.05,6.7,1.14,2.02,0,732.69
247.708330,25.72,9.63,0.79,1.45,0,732.89
247.750000,24,6.96,0.62,0,0,733.19
247.791670,21.33,5.35,1.55,0.4,0,733.49
247.833330,19.05,5.05,0.98,0.28,0,733.89
247.875000,17.38,4.76,1.51,0.44,0,734.39
247.916670,16.11,5.51,1.74,0.25,0,734.79
247.958330,14.03,6.17,2.18,0.46,0,734.49
248.000000,13.38,5.67,1.87,0.39,0,734.39
248.041670,12.57,5.66,1.76,0.42,7.5,733.99
248.083330,11.84,5.47,2.08,0.41,0,733.29
248.125000,11.65,5.42,1.94,0.43,0,732.29
248.166670,10.64,5.22,1.82,0.45,0,731.69
248.208330,10.71,5.55,1.94,0.34,0,731.09
248.250000,10.17,5.28,1.94,0.64,0,730.69
248.291670,11.72,6.68,1.24,0.7,0,730.69
