$ HOXO_DLS 2011 2017-11-15 by 1_CWMS_weather_station_read_plot_v3.py<6 hours of missing data was deleted, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
473.583330,9.56,5.18,4.02,5.76,10,761.99
473.625000,9.03,6.41,5.81,5.76,10,761.99
473.666670,8.85,6.12,3.57,5.41,10,761.99
473.708330,8.46,5.98,3.57,5.41,10,761.99
473.750000,8.2,5.7,1.34,5.06,10,760.99
473.791670,7.47,6.1,1.34,5.93,7.5,760.99
473.833330,6.97,5.88,0,0,10,760.99
473.875000,6.71,6.05,0,0,4.4,760.99
473.916670,6.28,5.87,0,0,7.5,760.99
473.958330,5.96,5.58,0,0,7.5,760.99
474.000000,6.06,5.8,0,0,7.5,760.99
474.041670,6.06,5.72,0,0,10,759.99
474.083330,6.01,5.77,1.34,2.09,10,759.99
474.125000,5.95,5.67,0,0,10,759.99
474.166670,5.96,5.76,0,0,10,759.99
474.208330,5.89,5.68,0,0,10,759.99
474.250000,6,5.83,0,0,7.5,760.99
474.291670,6.82,6.3,1.34,3.31,4.4,760.99
474.333330,7.75,6.08,0,0,7.5,760.99
474.375000,9,6.95,0,0,7.5,760.99
474.416670,9.22,6.88,4.91,5.58,7.5,760.99
474.458330,10.3,5.44,7.15,5.76,10,760.99
474.500000,10.58,5.83,6.7,5.41,10,761.99
474.541670,11.07,4.97,5.81,5.58,2,761.99
474.583330,11.86,5.26,8.04,5.23,7.5,761.99
474.625000,12.02,5.65,8.04,5.41,0,760.99
474.666670,12.05,5.79,9.83,5.23,0,760.99
474.708330,11.16,6.08,7.6,5.41,2,760.99
474.750000,10.4,5.98,2.23,4.71,0,760.99
474.791670,9.86,6.18,0,0,0,760.99
474.833330,9.41,5.96,2.23,2.79,0,760.99
474.875000,7.46,4.32,2.23,5.23,0,761.99
474.916670,5.66,4.12,2.68,4.53,0,761.99
474.958330,5.65,3.65,2.68,0.87,0,761.99
475.000000,3.9,2.91,1.34,0.52,0,761.99
475.041670,3.87,2.84,1.34,1.22,2,761.99
475.083330,3.73,2.69,1.34,5.76,7.5,761.99
475.125000,4.02,2.84,0,0,7.5,761.99
475.166670,4.06,2.95,1.34,5.06,10,761.99
475.208330,4.1,3.32,1.34,2.44,7.5,761.99
475.250000,4.71,3.76,0,0,2,761.99
475.291670,5.98,4.15,1.34,2.44,7.5,761.99
475.333330,6.91,3.77,1.34,5.58,10,761.99
475.375000,7.63,4.91,2.23,5.49,10,762.99
475.416670,9.32,5.34,2.68,5.41,10,762.99
475.458330,10.07,6.3,1.34,5.76,10,762.99
475.500000,10.71,5.02,1.34,5.58,10,762.99
475.541670,11.02,5.92,2.68,5.41,10,762.99
475.583330,11.23,6.82,3.57,5.76,10,762.99
475.625000,10.54,7.99,3.57,5.93,10,761.99
475.666670,10.1,8.65,3.12,5.93,10,761.99
475.708330,9.96,9.01,3.12,5.76,10,761.99
475.750000,9.92,9.21,2.68,5.58,10,761.99
475.791670,9.85,9.25,2.68,5.76,10,761.99
475.833330,9.81,9.42,0,0,10,761.99
475.875000,9.82,9.52,0,0,2,761.99
475.916670,9.67,9.43,0,0,6,761.99
475.958330,9.37,9.2,0,0,10,761.99
476.000000,9.22,9.03,0,0,10,761.99
476.041670,9.34,9.02,0,0,7.5,761.99
476.083330,9.58,9.2,0,0,10,761.99
476.125000,11.46,10.16,0,0,7.5,761.99
476.166670,13.01,10.91,0,0,7.5,761.99
476.208330,11.38,10.4,0,0,7.5,761.99
476.250000,11.08,10.56,2.23,1.57,7.5,762.99
476.291670,12.98,11.24,2.68,5.76,7.5,762.99
476.333330,12.95,10.61,4.91,5.76,4.4,762.99
476.375000,13.51,10.41,7.15,5.93,7.5,763.99
476.416670,14.31,10.14,7.15,5.76,10,764.99
476.458330,14.76,9.75,9.38,5.58,10,764.99
476.500000,14.73,9.89,7.6,5.58,0,764.99
476.541670,15.23,9.98,7.15,5.76,4.4,764.99
476.583330,14.13,9.68,7.15,5.58,4.4,764.99
476.625000,14.19,9.87,5.81,5.58,4.4,764.99
476.666670,14.56,9.9,4.47,5.23,2,763.99
476.708330,13.92,10.07,4.91,5.76,0,763.99
476.750000,14.35,9.85,6.25,5.58,0,763.99
476.791670,13.61,9.57,5.81,5.41,0,763.99
476.833330,13.18,9.58,4.47,4.53,0,763.99
476.875000,12.65,9.41,3.12,5.41,0,763.99
476.916670,10.72,9.17,1.34,0.17,0,763.99
476.958330,9.55,8.61,3.12,2.09,0,763.99
477.000000,8.61,7.93,0,0,0,763.99
477.041670,7.95,7.5,0,0,0,763.99
477.083330,7.41,6.92,0,0,0,763.99
477.125000,6.78,6.4,2.68,1.92,0,762.99
477.166670,6.65,6.35,0,0,0,762.99
477.208330,6.24,5.9,0,0,0,762.99
477.250000,6.42,5.97,0,0,0,762.99
477.291670,8.38,7.66,1.34,5.41,4.4,762.99
477.333330,10.38,8.25,2.68,5.58,0,762.99
477.375000,12.54,8.87,1.34,6.1,0,762.99
477.416670,15.11,9.72,0,0,0,761.99
477.458330,17.59,10.15,2.23,5.23,0,761.99
477.500000,20.06,9.84,1.34,3.49,0,760.99
477.541670,21.66,8.37,1.34,1.74,0,760.99
477.583330,23.33,8.85,0,0,0,760.99
477.625000,24.38,9.06,0,0,0,758.99
477.666670,25.22,8.72,0,0,0,758.99
477.708330,25.38,8.1,1.34,0.34,0,758.99
477.750000,24.44,9.05,1.34,0.52,0,757.99
477.791670,22.27,9.01,0,0,0,757.99
477.833330,17.44,10.76,0,0,0,757.99
477.875000,15.81,10.15,2.23,1.92,0,758.99
477.916670,14.62,10.01,0,0,0,758.99
477.958330,12.91,9.36,0,0,0,758.99
478.000000,12.12,9.07,0,0,0,758.99
478.041670,12.09,8.95,2.23,1.74,0,758.99
478.083330,11.52,8.77,1.34,2.26,0,758.99
478.125000,10.3,8.44,3.12,2.26,0,758.99
478.166670,10.12,8.32,0,0,0,758.99
478.208330,9.52,8.01,0,0,0,758.99
478.250000,9.06,7.81,0,0,0,758.99
478.291670,11.39,8.83,0,0,0,758.99
478.333330,14.81,9.96,1.34,0.34,0,758.99
478.375000,17.18,10.15,0,0,0,757.99
478.416670,19.73,10.67,0,0,0,756.99
478.458330,23.33,9.51,2.23,0.87,0,756.99
478.500000,25.11,8.72,0,0,0,756.99
478.541670,26.22,9.03,1.34,0,0,755.99
478.583330,27.27,9.07,1.34,0,0,755.99
478.625000,28.44,9.77,1.34,0,0,754.99
478.666670,29.05,10.01,0,0,0,754.99
478.708330,28.11,10.56,0,0,0,754.99
478.750000,26.66,9.95,2.68,0.87,0,753.99
478.791670,24.44,11.4,0,0,0,754.99
478.833330,21.27,12.75,4.02,6.1,2,754.99
478.875000,19.28,12.11,0,0,0,754.99
478.916670,17.78,11.17,0,0,0,754.99
478.958330,15.94,10.84,0,0,0,754.99
479.000000,15.08,10.48,0,0,0,755.99
479.041670,13.92,10.2,0,0,0,755.99
479.083330,12.51,9.92,0,0,0,755.99
479.125000,12.08,9.21,2.23,2.79,0,756.99
479.166670,11.84,8.82,4.02,2.26,0,755.99
479.208330,10.84,8.63,1.34,0.69,0,755.99
479.250000,11.11,8.74,2.23,5.23,0,755.99
479.291670,14.72,10.2,3.57,6.1,0,755.99
479.333330,16.9,10.63,3.12,5.41,0,755.99
479.375000,19.42,10.38,1.34,4.88,0,755.99
479.416670,20.77,11.8,2.23,5.41,0,755.99
479.458330,23.16,12.85,1.34,5.67,0,755.99
479.500000,26.05,12.79,2.23,5.93,0,754.99
479.541670,28,11.92,2.23,5.76,0,753.99
479.583330,29.16,11.21,2.23,5.76,0,753.99
479.625000,29.38,11.87,6.25,5.76,0,752.99
479.666670,27.88,12.55,4.47,5.93,0,752.99
479.708330,27.88,11.76,3.12,5.93,0,752.99
479.750000,26.33,11.1,2.68,2.96,4.4,751.99
479.791670,25,11.52,3.12,4.36,7.5,752.99
479.833330,24.72,10.05,0,0,2,752.99
479.875000,21.72,10.74,2.68,1.92,7.5,753.99
479.916670,21.03,10.74,3.12,0.52,0,753.99
479.958330,20.06,10.52,1.34,1.74,0,753.99
480.000000,18.95,11.6,2.68,6.28,0,755.99
480.041670,17.38,10.89,2.23,5.06,0,755.99
480.083330,16.4,10.42,6.25,5.23,0,755.99
480.125000,15.71,9.59,6.25,5.41,0,756.99
480.166670,15.13,9.31,7.15,5.23,0,757.99
480.208330,14.41,9.25,9.83,5.23,0,757.99
480.250000,13.85,9.02,7.6,5.23,0,757.99
480.291670,13.45,9.08,8.94,5.23,0,757.99
480.333330,13.81,9.03,12.96,5.23,0,757.99
480.375000,13.62,8.71,10.28,5.06,0,758.99
480.416670,15.08,8.98,9.38,5.58,0,758.99
480.458330,16.09,8.82,9.38,5.58,0,758.99
480.500000,17.3,8.36,9.83,5.58,0,757.99
480.541670,17.51,8,9.83,5.58,0,757.99
480.583330,17.04,8.26,9.38,5.41,0,757.99
480.625000,18.16,8.53,10.72,5.58,0,756.99
480.666670,18.2,8.69,10.72,5.41,0,756.99
480.708330,17.02,8.67,10.72,5.76,0,756.99
480.750000,16.29,9,6.7,5.23,0,755.99
480.791670,15.35,9.76,4.47,5.41,0,755.99
480.833330,14.96,10.11,4.47,5.23,0,755.99
480.875000,14.65,10.03,3.57,4.01,0,755.99
480.916670,14.09,10.25,3.12,4.01,0,756.99
480.958330,13.15,10.33,1.34,1.22,7.5,756.99
481.000000,13.86,10.22,1.34,2.61,4.4,756.99
481.041670,14.31,9.99,2.68,1.92,4.4,755.99
481.083330,12.6,9.77,0,0,0,755.99
481.125000,11.57,9.27,0,0,10,755.99
481.166670,11,9.17,1.34,2.26,7.5,755.99
481.208330,10.72,9.01,1.34,2.09,4.4,755.99
481.250000,11.02,9.15,0,0,7.5,755.99
481.291670,12.65,9.83,0,0,0,754.99
481.333330,13.39,10.49,0,0,0,754.99
481.375000,14.65,10.58,0,0,0,754.99
481.416670,15.58,10.36,0,0,0,753.99
481.458330,17.25,10.68,2.23,2.88,7.5,753.99
481.500000,16.37,11.15,8.94,5.76,7.5,753.99
481.541670,13.99,12.56,6.7,5.41,10,752.99
481.583330,13.95,12.87,4.91,5.23,10,752.99
481.625000,16.3,13.79,0,0,10,750.99
481.666670,15.87,12.88,2.23,6.1,10,749.99
481.708330,15.36,13.4,2.23,6.28,10,749.99
481.750000,14.89,13.61,4.47,5.76,10,750.99
481.791670,14.02,11.08,4.47,5.41,10,750.99
481.833330,13.09,10.99,4.47,4.71,4.4,750.99
481.875000,13.09,10.39,3.57,5.58,10,750.99
481.916670,12.87,10.45,2.23,4.88,10,750.99
481.958330,11.81,11.02,1.34,5.41,10,750.99
482.000000,11.76,8.07,5.81,5.58,10,750.99
482.041670,11.14,7.91,5.81,5.58,10,749.99
482.083330,10.8,7.64,4.02,5.58,10,749.99
482.125000,10.13,7.86,7.15,5.23,10,749.99
482.166670,10.42,7.4,4.91,5.58,10,749.99
482.208330,10.53,6.9,1.34,5.23,10,749.99
482.250000,10.32,7.06,5.81,5.06,7.5,749.99
482.291670,10.2,6.52,6.7,5.41,10,749.99
482.333330,10.42,6.63,7.6,5.58,10,749.99
482.375000,10.65,4.57,7.15,5.23,7.5,750.99
482.416670,11.39,4.22,8.94,5.23,7.5,751.99
482.458330,11.43,1.08,9.38,4.88,0,751.99
482.500000,12.43,1.26,11.62,4.88,2,753.99
482.541670,11.13,4.33,9.83,4.71,0,753.99
482.583330,11.78,3.07,9.38,5.41,7.5,753.99
482.625000,9.47,4.98,9.38,4.88,7.5,754.99
482.666670,9.12,4.36,6.25,5.23,2,755.99
482.708330,9.71,5.18,7.6,5.23,7.5,755.99
482.750000,7.37,4.97,2.68,5.76,0,757.99
482.791670,6.83,4.7,6.7,5.23,10,757.99
482.833330,6.81,5.21,6.25,5.06,10,757.99
482.875000,6.04,4.63,3.12,5.76,7.5,760.99
482.916670,5.1,4.62,4.02,5.93,7.5,760.99
482.958330,5.63,5.02,1.34,4.88,7.5,760.99
483.000000,5.8,5.06,3.12,4.88,4.4,762.99
483.041670,5.45,4.14,1.34,4.01,0,762.99
483.083330,5.44,4.1,4.02,4.53,0,762.99
483.125000,6.2,3.76,4.02,5.06,0,764.99
483.166670,4.62,3.87,4.91,5.06,0,764.99
483.208330,5.85,3.92,4.47,5.06,0,764.99
483.250000,6.66,3.92,3.12,5.41,0,765.99
483.291670,7.85,3.48,6.7,5.23,0,766.99
483.333330,8,3.62,8.04,5.58,0,766.99
483.375000,9.1,3.72,8.04,5.76,0,766.99
483.416670,10.48,3.95,7.6,5.41,0,766.99
483.458330,11.82,2.86,10.72,5.58,0,766.99
483.500000,11.32,2.75,9.38,5.76,0,766.99
483.541670,12.04,2.95,8.94,5.58,7.5,766.99
483.583330,12.41,3.53,5.81,5.58,7.5,766.99
483.625000,11.78,3.88,8.04,5.58,10,765.99
483.666670,12.52,3.72,5.81,5.41,10,765.99
483.708330,11.55,4.41,6.7,5.41,10,765.99
483.750000,11.06,4.82,6.7,5.23,10,765.99
483.791670,10.08,5.16,4.02,5.58,7.5,765.99
483.833330,10.06,5.48,5.81,5.58,10,765.99
483.875000,10.07,4.93,4.02,5.58,0,766.99
483.916670,9.74,5.54,3.57,5.23,7.5,766.99
483.958330,9.58,5.38,2.68,2.61,7.5,766.99
484.000000,9.48,5.49,0,0,10,766.99
484.041670,9.32,5.38,2.68,4.71,10,765.99
484.083330,9.32,5.06,2.23,4.18,10,765.99
484.125000,9.08,5.41,2.23,4.18,10,765.99
484.166670,8.78,5.99,2.23,4.36,10,765.99
484.208330,8.49,5.83,3.12,4.71,10,765.99
484.250000,8.56,6.07,2.68,5.23,7.5,765.99
484.291670,9.96,6.07,0,0,4.4,766.99
484.333330,10.9,6.26,2.23,3.84,0,766.99
484.375000,12.7,6.67,0,0,7.5,765.99
484.416670,13.52,6.18,4.47,5.76,7.5,765.99
484.458330,14.36,6.55,6.25,5.58,0,765.99
484.500000,15.15,6.68,6.7,5.76,0,765.99
484.541670,15.95,6.47,6.25,5.76,0,764.99
484.583330,16.38,6.85,7.15,5.58,0,764.99
484.625000,16.43,7.03,6.7,5.58,0,764.99
484.666670,16.76,6.95,6.7,5.23,0,764.99
484.708330,16.49,7.11,6.25,5.23,0,764.99
484.750000,15.6,6.86,4.47,5.58,0,763.99
484.791670,14.46,6.89,3.57,5.58,0,763.99
484.833330,13.19,7.02,4.02,5.41,0,763.99
484.875000,12.67,7.13,4.02,5.23,0,763.99
484.916670,10.56,6.58,4.91,5.76,0,763.99
484.958330,9.28,6.26,4.47,5.76,0,763.99
485.000000,9.18,6.05,4.02,5.76,0,763.99
485.041670,7.98,5.77,4.02,5.41,0,763.99
485.083330,7.65,5.39,3.57,5.58,0,763.99
485.125000,7.46,5.07,0,0,0,762.99
485.166670,6.22,4.7,1.34,2.96,0,762.99
485.208330,6.55,4.56,0,0,0,762.99
485.250000,6.72,4.83,0,0,0,762.99
485.291670,9.67,5.86,4.02,6.1,0,762.99
485.333330,12.64,7.55,0,0,0,762.99
485.375000,15.77,9.1,0,0,0,761.99
485.416670,17.05,7.1,4.02,5.58,0,761.99
485.458330,17.49,5.88,4.02,5.93,0,761.99
485.500000,18.28,6.26,5.81,5.93,0,760.99
485.541670,18.53,6.66,7.15,5.23,0,759.99
485.583330,18.32,6.4,7.15,5.41,0,759.99
485.625000,18.87,6.4,8.04,5.23,0,758.99
485.666670,18.71,6.44,6.7,4.88,0,757.99
485.708330,17.58,6.38,6.25,5.41,0,757.99
485.750000,16.86,6.47,6.25,5.41,0,757.99
485.791670,16.09,6.94,7.6,5.58,0,756.99
485.833330,15.53,7.2,5.81,5.58,0,756.99
485.875000,15.22,7.41,4.02,5.41,10,755.99
485.916670,14.97,7.48,4.02,5.06,7.5,754.99
485.958330,14.67,7.78,2.68,4.88,4.4,754.99
486.000000,13.09,9.21,7.6,5.41,10,753.99
486.041670,11.35,8.37,2.68,5.76,10,754.99
486.083330,10.1,7.66,3.12,6.1,10,754.99
486.125000,9.82,7.61,4.91,5.58,10,753.99
486.166670,10.25,7.73,2.23,4.53,10,752.99
486.208330,10.35,7.87,1.34,3.66,4.4,752.99
486.250000,10.96,7.78,0,0,2,752.99
486.291670,12.1,7.96,7.15,5.06,4.4,753.99
486.333330,12.76,7.83,12.96,5.06,0,753.99
486.375000,12.92,8.26,14.3,5.06,0,753.99
486.416670,12.64,8.56,11.17,5.06,1,754.99
486.458330,13.03,8.62,8.04,5.06,2,754.99
486.500000,13.3,8.48,16.09,4.71,0,754.99
486.541670,13.75,8,10.28,4.88,2,754.99
486.583330,14.42,6.88,10.72,5.06,0,754.99
486.625000,12.06,7.98,10.72,5.23,2,754.99
486.666670,12.43,6.78,10.28,4.88,0,755.99
486.708330,11.31,6.16,4.47,4.88,4.4,755.99
486.750000,11.88,4.18,7.15,4.88,10,756.99
486.791670,10.52,4.06,6.7,5.41,7.5,756.99
486.833330,9.35,4.17,4.47,5.23,10,756.99
486.875000,9.18,2.56,2.68,5.06,7.5,758.99
486.916670,8.48,2.99,7.6,4.88,7.5,758.99
486.958330,8.38,2.09,4.47,4.53,10,758.99
487.000000,8.07,1.91,6.7,4.71,10,759.99
487.041670,7.36,2.46,2.68,5.58,4.4,759.99
487.083330,7.05,2.35,1.34,6.1,7.5,759.99
487.125000,6.89,2.08,2.23,5.41,0,759.99
487.166670,6.59,2.61,0,0,0,759.99
487.208330,5.78,2.71,1.34,4.36,7.5,759.99
487.250000,6.38,2.78,3.57,5.58,7.5,759.99
487.291670,7.32,3.3,6.25,5.76,10,759.99
487.333330,7.94,3.57,7.15,5.93,10,759.99
487.375000,7.72,3.66,7.6,5.76,0,759.99
487.416670,8.28,4.09,8.94,5.58,7.5,759.99
487.458330,9.75,2.99,8.04,5.93,10,759.99
487.500000,10.8,2.19,7.6,5.41,4.4,758.99
487.541670,10.8,3.72,8.94,5.41,0,758.99
487.583330,12.25,2.2,8.04,5.41,0,758.99
487.625000,11.08,3.07,7.15,5.23,7.5,757.99
487.666670,10.5,3.97,10.28,5.06,10,757.99
487.708330,9.11,4.24,10.28,5.23,10,757.99
487.750000,6.69,3.95,4.91,5.41,7.5,758.99
487.791670,6.2,3.72,5.81,5.41,0,758.99
487.833330,5.71,3.98,4.91,5.41,0,758.99
487.875000,5.83,4.21,4.47,5.41,0,758.99
487.916670,5.73,4.03,5.81,5.23,7.5,758.99
487.958330,4.72,3.11,4.91,5.41,0,758.99
488.000000,5.09,3.6,5.81,4.88,0,758.99
488.041670,4.37,3.18,2.23,3.31,0,759.99
488.083330,5.12,3.41,2.68,3.84,2,759.99
488.125000,5.22,3.37,3.12,3.75,0,758.99
488.166670,4.92,3.26,1.34,3.66,7.5,759.99
488.208330,4.75,2.97,1.34,3.49,10,759.99
488.250000,3.94,3.17,2.68,4.88,2,759.99
488.291670,6.47,3.97,4.02,5.23,0,759.99
488.333330,7.78,3.58,6.25,5.93,4.4,759.99
488.375000,8.56,3.08,6.25,5.76,0,759.99
488.416670,9.86,2.9,4.47,5.93,0,759.99
488.458330,10.49,3.54,4.47,5.58,0,759.99
488.500000,11.5,2.56,6.25,5.58,0,758.99
488.541670,12.55,2.43,2.68,5.41,0,757.99
488.583330,12.94,1.36,2.23,5.06,0,757.99
488.625000,12.82,2.53,3.12,5.76,0,756.99
488.666670,13.1,2.17,2.23,5.41,0,755.99
488.708330,12.78,2.43,3.12,5.76,7.5,755.99
488.750000,12.13,4.17,2.68,5.58,10,754.99
488.791670,11.66,4.51,4.02,5.76,10,754.99
488.833330,10.59,5.73,4.47,5.76,10,754.99
488.875000,10.05,5.57,2.68,5.58,10,754.99
488.916670,9.03,6.25,2.68,5.76,10,753.99
488.958330,8.77,6.28,2.23,5.76,10,753.99
489.000000,8.37,6.67,1.34,5.93,10,752.99
489.041670,7.91,6.77,4.02,5.93,10,752.99
489.083330,7.8,7.13,2.23,5.93,10,752.99
489.125000,7.57,7.11,3.12,5.76,10,751.99
489.166670,7.46,7.08,2.23,5.76,10,751.99
489.208330,7.09,6.67,0,0,10,751.99
489.250000,7.23,6.87,0,0,10,750.99
489.291670,7.04,6.61,0,0,10,750.99
489.333330,6.76,6.08,2.23,0.69,10,750.99
489.375000,6.38,5.78,2.68,1.39,10,750.99
489.416670,6.62,5.78,3.57,0.87,10,750.99
489.458330,7.11,6.09,3.57,5.76,10,750.99
489.500000,7.91,6.58,4.02,5.93,7.5,750.99
489.541670,9.13,7.09,3.57,5.76,7.5,750.99
489.583330,9.83,7.41,4.91,5.58,7.5,750.99
489.625000,10.1,7.95,9.38,4.88,4.4,751.99
489.666670,11.31,8.91,10.72,4.88,7.5,752.99
489.708330,12.88,4.93,7.15,4.88,0,752.99
489.750000,11,6.4,8.94,4.88,0,755.99
489.791670,10.9,5.13,4.47,5.41,0,756.99
489.833330,10.07,5.21,4.02,5.23,0,756.99
489.875000,9.9,5.06,3.57,4.88,0,757.99
489.916670,9.27,5.1,3.57,5.58,0,758.99
489.958330,8.99,4.73,1.34,5.41,0,758.99
490.000000,8.09,4.51,0,0,7.5,759.99
490.041670,7.91,4.05,3.12,5.76,7.5,759.99
490.083330,6.77,5.07,2.23,5.23,4.4,759.99
490.125000,6.84,4.17,4.02,5.58,0,760.99
490.166670,5.92,3.97,4.47,5.76,2,760.99
490.208330,6.26,3.65,4.02,5.76,0,760.99
490.250000,5.32,3.47,5.81,5.58,0,761.99
490.291670,6.63,4.05,5.81,5.58,0,762.99
490.333330,7.84,4.11,7.15,5.23,0,762.99
490.375000,7.98,3.84,8.94,5.06,10,763.99
490.416670,8.39,3.96,8.04,5.23,0,763.99
490.458330,10.5,3.85,7.15,5.41,2,763.99
490.500000,10.68,3.6,8.04,5.41,0,764.99
490.541670,11.31,3.7,8.94,5.41,2,763.99
490.583330,12.64,3.61,10.72,5.23,2,763.99
490.625000,9.88,3.85,7.15,5.41,4.4,765.99
490.666670,10.66,3.7,10.72,5.06,2,765.99
490.708330,10.75,3.86,6.7,5.06,2,765.99
490.750000,10,3.86,3.57,5.58,7.5,766.99
490.791670,8.48,3.7,3.12,5.06,4.4,767.99
490.833330,7.93,3.48,3.12,4.88,0,767.99
490.875000,7.23,3.06,4.47,4.71,0,768.99
490.916670,7.27,2.13,3.57,5.06,4.4,768.99
490.958330,7.1,1.76,3.57,4.88,0,768.99
491.000000,6.86,1.59,4.47,5.06,0,769.99
491.041670,6.65,1.1,7.15,5.06,7.5,769.99
491.083330,6.56,1.61,2.23,5.41,7.5,769.99
491.125000,6.35,2.03,2.23,5.93,10,770.99
491.166670,6.21,2.28,1.34,5.06,10,770.99
491.208330,6.12,1.87,3.12,5.23,7.5,770.99
491.250000,6.5,1.98,4.02,5.23,4.4,771.99
491.291670,6.86,2.28,7.15,5.41,0,771.99
491.333330,7.47,2.28,9.83,5.06,4.4,771.99
491.375000,8.17,2.02,9.38,5.06,0,771.99
491.416670,9.4,2.35,7.15,5.23,0,771.99
491.458330,10.58,2.86,8.94,5.06,4.4,771.99
491.500000,11.43,2.43,9.38,5.06,2,771.99
491.541670,11.25,2.32,10.72,5.23,0,771.99
491.583330,12.26,2.84,11.17,5.06,0,771.99
491.625000,13.07,2.26,7.6,5.06,0,771.99
491.666670,13.08,3.23,8.04,5.23,0,771.99
491.708330,12.68,2.98,6.7,5.23,0,771.99
491.750000,12.22,2.86,3.57,5.06,0,770.99
491.791670,10.61,2.86,4.91,4.71,0,771.99
491.833330,9.88,3.16,4.02,5.41,0,771.99
491.875000,8.92,3.49,3.57,5.23,0,771.99
491.916670,6.95,3.02,3.57,5.58,0,771.99
491.958330,5.77,2.9,3.57,5.58,0,771.99
492.000000,5.48,2.62,4.91,5.76,0,771.99
492.041670,4.98,2.2,3.57,5.23,0,770.99
492.083330,3.99,1.82,2.23,2.09,0,770.99
492.125000,3.21,1.58,3.12,1.74,0,770.99
492.166670,1.91,0.94,0,0,0,770.99
492.208330,1.21,0.41,0,0,0,770.99
492.250000,2.78,1.4,0,0,0,770.99
492.291670,5.61,2.5,0,0,0,770.99
492.333330,8.01,3.4,1.34,3.49,0,770.99
492.375000,11.01,4.6,2.68,1.22,0,770.99
492.416670,13.32,3.95,3.57,1.22,0,769.99
492.458330,14.97,3.11,0,0,0,769.99
492.500000,16.32,2.8,0,0,0,768.99
492.541670,17.58,1.94,2.23,0.52,0,768.99
492.583330,18.74,1.16,2.68,1.04,0,768.99
492.625000,19.79,-1.93,0,0,0,767.99
492.666670,19.93,-1.16,2.23,0.34,0,766.99
492.708330,19.68,-0.27,2.23,0.87,0,766.99
492.750000,19.31,-0.43,2.23,0.69,0,766.99
492.791670,18.12,-1.92,0,0,0,766.99
492.833330,14.14,2.61,0,0,0,766.99
492.875000,11.62,4.06,0,0,0,767.99
492.916670,10.61,3.9,0,0,0,767.99
492.958330,8.96,4.21,2.68,1.92,0,767.99
493.000000,8.07,4.15,1.34,1.57,0,767.99
493.041670,6.98,3.87,2.23,2.09,0,767.99
493.083330,6.05,3.5,0,0,0,767.99
493.125000,5.16,3.07,2.23,2.09,0,767.99
493.166670,4.55,2.71,1.34,2.09,0,766.99
493.208330,3.57,2.28,1.34,1.92,0,766.99
493.250000,5.1,3.1,0,0,0,766.99
493.291670,8.07,3.7,0,0,0,766.99
493.333330,10.81,4.82,0,0,0,766.99
493.375000,13.18,5.21,0,0,0,765.99
493.416670,17.61,2.7,1.34,0.52,0,764.99
493.458330,19.42,3.65,3.57,1.04,0,764.99
493.500000,20.91,2.01,2.68,1.22,0,764.99
493.541670,22.05,2.6,3.12,0.87,0,763.99
493.583330,22.94,2.87,4.47,1.22,0,763.99
493.625000,23.27,2.98,4.02,0.87,0,762.99
493.666670,24.05,2.33,3.12,0.69,0,761.99
493.708330,23.83,2,2.68,1.04,0,761.99
493.750000,23.11,1.65,1.34,0.69,0,761.99
493.791670,21.77,2.41,0,0,0,760.99
493.833330,17.3,5.11,0,0,0,760.99
493.875000,14.65,6.6,0,0,0,761.99
493.916670,13.74,6.15,2.68,1.92,0,761.99
493.958330,12.7,6.03,0,0,0,761.99
494.000000,11.38,5.78,0,0,0,761.99
494.041670,9.53,5.73,2.68,1.92,0,761.99
494.083330,8.85,5.65,2.23,2.26,0,761.99
494.125000,7.49,5.35,1.34,1.92,0,761.99
494.166670,6.82,4.96,0,0,0,762.99
494.208330,6.75,4.78,0,0,0,762.99
494.250000,7.37,5.27,0,0,0,762.99
494.291670,10.58,6.14,0,0,0,762.99
494.333330,13.2,5.59,0,0,0,762.99
494.375000,15.22,6.78,1.34,0.52,0,761.99
494.416670,17.88,7.88,3.57,5.93,0,761.99
494.458330,19.38,8.16,2.23,5.58,0,761.99
494.500000,21.16,8.49,4.91,6.1,0,760.99
494.541670,20.4,8.24,8.04,5.23,0,760.99
494.583330,22.55,6.36,8.04,5.41,0,760.99
494.625000,22.88,4.99,10.28,5.23,0,759.99
494.666670,22.88,3.9,7.6,5.23,0,759.99
494.708330,22.27,2.47,11.17,5.23,0,759.99
494.750000,20.96,2.82,9.38,5.41,0,759.99
494.791670,19.4,4.3,8.04,5.23,0,759.99
494.833330,18.11,6.26,8.04,5.23,0,759.99
494.875000,16.36,8.15,7.15,5.41,0,761.99
494.916670,13.99,8.07,8.04,5.23,0,761.99
494.958330,12.4,7.67,5.81,5.58,0,761.99
495.000000,11.81,6.9,6.7,5.41,0,762.99
495.041670,10.6,5.4,8.94,5.58,0,763.99
495.083330,8.95,3.2,8.94,5.58,0,763.99
495.125000,7.95,1.58,8.94,5.58,0,763.99
495.166670,7.32,1.18,6.7,5.23,0,764.99
495.208330,6.72,0.69,8.94,5.23,0,764.99
495.250000,7.01,0.4,8.94,5.23,0,765.99
495.291670,7.62,0.07,8.94,5.23,0,765.99
495.333330,8.81,-1.43,8.04,5.58,0,765.99
495.375000,10.04,-0.95,9.38,5.41,0,765.99
