Constituent,Julian_day,Seg_2  ,Seg_3  ,Seg_4  ,Seg_5  ,Seg_6  ,Seg_7  ,Seg_8  ,Seg_9  ,Seg_10 ,Seg_11 ,Seg_12 ,Seg_13 ,Seg_14 ,Seg_15 ,Seg_16 ,Seg_17 ,Seg_18 ,Seg_19 ,Seg_20 ,Seg_21 ,Seg_22 ,Seg_23 ,Seg_24 ,Seg_25 ,Seg_26 ,Seg_27 ,Seg_28 ,Seg_29 ,
Dissolved_oxygen                      , 41106.000,     9.610,     9.302,     9.584,     9.577,     9.578,     9.492,     9.629,     9.663,     9.695,     9.713,     9.722,     9.677,     9.635,     9.610,     9.599,     9.586,     9.557,     9.572,     9.526,     9.475,     9.483,     9.509,     9.386,     9.444,     9.476,     9.447,     9.459,     9.510,
Oxyg                                  , 41106.000,   109.249,   105.857,   109.199,   109.213,   109.298,   108.398,   110.100,   110.621,   111.055,   111.279,   111.304,   110.962,   110.713,   110.537,   110.474,   110.362,   110.177,   109.659,   109.044,   108.746,   108.502,   108.131,   107.637,   107.681,   107.593,   107.529,   107.604,   107.653,
TDG(                                  , 41106.000,   109.414,   106.028,   109.346,   109.279,   109.285,   108.349,   110.028,   110.520,   110.947,   111.217,   111.294,   111.037,   110.868,   110.763,   110.701,   110.643,   110.427,   110.494,   110.707,   110.541,   110.504,   111.421,   110.785,   112.377,   112.937,   112.486,   112.062,   111.954,
Temperature, 41107.000,    19.268,    19.291,    19.319,    19.354,    19.355,    19.290,    19.267,    19.360,    19.442,    19.456,    19.431,    19.400,    19.513,    19.648,    19.731,    19.765,    19.745,    19.750,    19.698,    19.798,    19.748,    19.517,    19.705,    19.551,    19.431,    19.558,    19.545,    19.382,
N2                                    , 41107.000,    15.819,    15.313,    15.781,    15.772,    15.780,    15.640,    15.842,    15.860,    15.865,    15.863,    15.839,    15.814,    15.839,    15.884,    15.907,    15.958,    15.983,    16.011,    15.973,    15.866,    15.816,    15.854,    15.649,    15.783,    15.784,    15.716,    15.742,    15.824,
Dissolved_oxygen                      , 41107.000,     9.545,     9.238,     9.515,     9.508,     9.517,     9.429,     9.544,     9.551,     9.553,     9.549,     9.530,     9.521,     9.546,     9.579,     9.595,     9.621,     9.635,     9.641,     9.601,     9.527,     9.490,     9.496,     9.375,     9.442,     9.441,     9.407,     9.428,     9.478,
Oxyg                                  , 41107.000,   108.878,   105.437,   108.681,   108.612,   108.585,   107.526,   109.038,   109.300,   109.346,   109.242,   108.957,   109.112,   109.702,   110.286,   110.566,   110.765,   110.976,   110.845,   110.432,   109.902,   109.295,   108.755,   108.012,   108.236,   107.993,   107.841,   107.996,   108.102,
TDG(                                  , 41107.000,   109.258,   105.820,   109.118,   109.062,   109.004,   107.977,   109.549,   109.832,   109.888,   109.812,   109.566,   109.658,   110.279,   110.863,   111.063,   111.451,   111.486,   112.089,   112.668,   112.141,   111.719,   112.077,   111.410,   112.648,   112.913,   112.499,   112.450,   112.209,
Temperature, 41108.000,    19.216,    19.195,    19.166,    19.112,    19.077,    19.089,    19.222,    19.388,    19.519,    19.577,    19.575,    19.518,    19.545,    19.570,    19.590,    19.614,    19.617,    19.657,    19.679,    19.854,    19.757,    19.591,    19.821,    19.710,    19.587,    19.676,    19.682,    19.565,
N2                                    , 41108.000,    15.882,    15.398,    15.900,    15.905,    15.884,    15.667,    15.818,    15.803,    15.786,    15.767,    15.738,    15.717,    15.739,    15.762,    15.770,    15.784,    15.765,    15.767,    15.776,    15.779,    15.824,    15.916,    15.687,    15.791,    15.806,    15.741,    15.755,    15.812,
Dissolved_oxygen                      , 41108.000,     9.590,     9.295,     9.593,     9.589,     9.576,     9.440,     9.527,     9.517,     9.511,     9.498,     9.478,     9.460,     9.467,     9.478,     9.482,     9.485,     9.475,     9.474,     9.483,     9.486,     9.509,     9.545,     9.405,     9.451,     9.454,     9.416,     9.428,     9.460,
Oxyg                                  , 41108.000,   109.160,   105.748,   109.012,   108.881,   108.751,   107.500,   108.854,   109.040,   109.089,   108.941,   108.576,   108.431,   108.587,   108.769,   108.870,   108.887,   108.897,   108.867,   109.115,   109.413,   109.654,   109.548,   108.677,   108.628,   108.395,   108.188,   108.336,   108.340,
TDG(                                  , 41108.000,   109.682,   106.280,   109.622,   109.553,   109.426,   108.192,   109.575,   109.740,   109.753,   109.610,   109.282,   109.318,   109.492,   109.677,   109.767,   109.873,   109.840,   110.214,   111.763,   112.057,   112.620,   113.264,   112.340,   113.209,   113.195,   112.781,   112.911,   112.564,
Temperature, 41109.000,    18.723,    18.733,    18.743,    18.751,    18.775,    18.794,    18.929,    19.130,    19.336,    19.465,    19.498,    19.421,    19.422,    19.529,    19.634,    19.691,    19.773,    19.789,    19.786,    19.937,    19.840,    19.736,    20.003,    19.842,    19.702,    19.739,    19.719,    19.592,
N2                                    , 41109.000,    16.050,    15.544,    16.022,    16.007,    15.996,    15.786,    15.924,    15.888,    15.864,    15.844,    15.834,    15.802,    15.768,    15.740,    15.727,    15.709,    15.681,    15.671,    15.652,    15.618,    15.617,    15.700,    15.576,    15.782,    15.855,    15.826,    15.846,    15.903,
Dissolved_oxygen                      , 41109.000,     9.703,     9.394,     9.680,     9.666,     9.653,     9.522,     9.607,     9.588,     9.570,     9.553,     9.541,     9.513,     9.486,     9.466,     9.458,     9.446,     9.430,     9.421,     9.396,     9.373,     9.373,     9.407,     9.341,     9.453,     9.490,     9.472,     9.489,     9.519,
Oxyg                                  , 41109.000,   109.097,   105.652,   108.889,   108.773,   108.675,   107.487,   108.899,   109.130,   109.217,   109.087,   108.781,   108.460,   108.401,   108.424,   108.479,   108.450,   108.409,   108.193,   108.006,   107.969,   108.057,   107.996,   108.004,   108.579,   108.657,   108.603,   108.783,   108.734,
TDG(                                  , 41109.000,   109.673,   106.229,   109.503,   109.439,   109.393,   108.226,   109.596,   109.786,   109.871,   109.793,   109.544,   109.381,   109.424,   109.561,   109.531,   109.547,   109.440,   109.682,   111.450,   111.537,   111.869,   112.543,   112.457,   113.852,   114.093,   113.864,   113.914,   113.267,
Temperature, 41110.000,    18.210,    18.235,    18.240,    18.246,    18.323,    18.418,    18.584,    18.747,    18.917,    19.036,    19.100,    19.037,    19.179,    19.336,    19.478,    19.622,    19.656,    19.666,    19.783,    20.150,    19.983,    19.807,    20.099,    20.030,    19.873,    19.834,    19.806,    19.679,
N2                                    , 41110.000,    16.282,    15.785,    16.270,    16.230,    16.191,    15.982,    16.136,    16.103,    16.072,    16.036,    16.007,    15.931,    15.876,    15.840,    15.808,    15.802,    15.780,    15.744,    15.624,    15.570,    15.572,    15.631,    15.420,    15.632,    15.757,    15.782,    15.810,    15.912,
Dissolved_oxygen                      , 41110.000,     9.865,     9.561,     9.854,     9.829,     9.799,     9.658,     9.750,     9.733,     9.715,     9.688,     9.664,     9.606,     9.565,     9.539,     9.521,     9.514,     9.498,     9.473,     9.390,     9.344,     9.338,     9.355,     9.242,     9.358,     9.428,     9.447,     9.470,     9.529,
Oxyg                                  , 41110.000,   109.809,   106.404,   109.672,   109.554,   109.436,   108.234,   109.640,   109.832,   109.881,   109.716,   109.307,   108.940,   108.863,   108.877,   109.012,   108.940,   108.872,   108.750,   108.297,   107.931,   107.845,   107.534,   107.351,   107.811,   108.148,   108.501,   108.698,   108.930,
TDG(                                  , 41110.000,   110.155,   106.779,   110.073,   109.991,   109.929,   108.784,   110.156,   110.359,   110.385,   110.236,   109.863,   109.951,   110.231,   110.217,   110.300,   110.114,   109.780,   110.645,   111.849,   112.286,   112.509,   112.871,   112.415,   113.567,   113.782,   113.823,   114.014,   113.299,
Temperature, 41111.000,    18.058,    18.031,    17.982,    17.880,    17.785,    17.760,    17.968,    18.236,    18.424,    18.483,    18.463,    18.395,    18.561,    18.821,    19.024,    19.111,    19.153,    19.164,    19.550,    20.113,    19.948,    19.852,    20.199,    20.190,    19.820,    19.672,    19.660,    19.562,
N2                                    , 41111.000,    16.387,    15.892,    16.424,    16.443,    16.435,    16.171,    16.274,    16.233,    16.226,    16.230,    16.232,    16.162,    16.087,    16.030,    16.001,    15.998,    15.970,    15.808,    15.634,    15.573,    15.541,    15.614,    15.280,    15.622,    15.741,    15.757,    15.765,    15.832,
Dissolved_oxygen                      , 41111.000,     9.896,     9.596,     9.916,     9.926,     9.923,     9.772,     9.840,     9.815,     9.811,     9.814,     9.815,     9.763,     9.710,     9.672,     9.654,     9.647,     9.628,     9.524,     9.409,     9.367,     9.323,     9.349,     9.156,     9.347,     9.410,     9.423,     9.436,     9.475,
Oxyg                                  , 41111.000,   108.744,   105.346,   108.633,   108.516,   108.409,   107.207,   108.559,   108.714,   108.802,   108.795,   108.641,   108.425,   108.414,   108.459,   108.481,   108.422,   108.271,   107.877,   107.437,   107.201,   106.838,   106.720,   105.874,   106.659,   106.747,   106.992,   107.112,   107.304,
TDG(                                  , 41111.000,   108.771,   105.388,   108.705,   108.612,   108.489,   107.190,   108.450,   108.584,   108.664,   108.654,   108.517,   108.372,   108.467,   108.531,   108.547,   108.654,   108.342,   109.104,   109.612,   109.532,   109.955,   110.733,   109.056,   109.574,   109.970,   110.162,   109.827,   109.335,
Temperature, 41112.000,    18.680,    18.671,    18.661,    18.639,    18.600,    18.567,    18.587,    18.620,    18.592,    18.503,    18.360,    18.116,    18.123,    18.357,    18.506,    18.526,    18.571,    18.555,    18.993,    19.723,    19.766,    19.847,    20.120,    19.831,    19.673,    19.677,    19.655,    19.564,
N2                                    , 41112.000,    16.241,    15.736,    16.236,    16.232,    16.230,    16.062,    16.264,    16.284,    16.293,    16.302,    16.336,    16.304,    16.228,    16.181,    16.175,    16.164,    16.161,    15.999,    15.728,    15.536,    15.515,    15.658,    15.518,    15.692,    15.740,    15.722,    15.727,    15.782,
Dissolved_oxygen                      , 41112.000,     9.831,     9.521,     9.818,     9.811,     9.808,     9.700,     9.820,     9.832,     9.836,     9.836,     9.848,     9.829,     9.789,     9.765,     9.763,     9.755,     9.754,     9.649,     9.472,     9.350,     9.336,     9.382,     9.288,     9.389,     9.410,     9.398,     9.409,     9.437,
Oxyg                                  , 41112.000,   109.991,   106.494,   109.769,   109.610,   109.500,   108.345,   109.760,   109.830,   109.678,   109.349,   108.939,   108.732,   108.825,   108.922,   108.967,   108.905,   108.920,   108.609,   107.724,   107.271,   107.511,   107.366,   107.076,   107.340,   107.258,   107.252,   107.348,   107.400,
TDG(                                  , 41112.000,   110.063,   106.610,   109.942,   109.817,   109.736,   108.631,   110.062,   110.134,   110.006,   109.750,   109.444,   109.268,   109.486,   109.604,   109.538,   109.435,   109.347,   110.754,   111.220,   110.175,   110.832,   111.820,   111.329,   111.376,   110.872,   110.701,   110.506,   110.072,
Temperature, 41113.000,    18.498,    18.485,    18.491,    18.514,    18.550,    18.595,    18.743,    18.904,    18.990,    18.999,    18.924,    18.802,    18.795,    18.745,    18.670,    18.621,    18.549,    18.330,    19.151,    19.752,    19.491,    19.436,    19.802,    19.803,    19.479,    19.310,    19.313,    19.239,
N2                                    , 41113.000,    16.321,    15.797,    16.264,    16.220,    16.187,    15.970,    16.131,    16.133,    16.140,    16.144,    16.147,    16.151,    16.181,    16.203,    16.220,    16.219,    16.283,    15.870,    15.660,    15.597,    15.639,    15.777,    15.415,    15.745,    15.894,    15.857,    15.866,    15.916,
Dissolved_oxygen                      , 41113.000,     9.830,     9.515,     9.798,     9.775,     9.757,     9.632,     9.739,     9.747,     9.753,     9.751,     9.746,     9.740,     9.752,     9.762,     9.772,     9.767,     9.806,     9.553,     9.421,     9.384,     9.407,     9.482,     9.260,     9.428,     9.494,     9.473,     9.493,     9.511,
Oxyg                                  , 41113.000,   109.351,   105.851,   109.048,   108.868,   108.773,   107.709,   109.273,   109.556,   109.634,   109.450,   109.122,   109.040,   109.061,   109.020,   109.021,   108.800,   108.765,   107.585,   106.815,   106.932,   107.302,   107.573,   106.662,   107.160,   107.219,   107.162,   107.385,   107.284,
TDG(                                  , 41113.000,   109.247,   105.747,   108.917,   108.711,   108.595,   107.459,   108.905,   109.118,   109.183,   109.045,   108.796,   108.794,   108.904,   108.898,   108.899,   108.764,   108.695,   110.069,   110.072,   109.619,   110.275,   111.181,   109.423,   110.164,   110.269,   110.069,   110.003,   109.352,
Temperature, 41114.000,    19.055,    19.025,    18.990,    18.941,    18.875,    18.824,    18.817,    18.854,    18.835,    18.739,    18.608,    18.500,    18.661,    18.841,    18.937,    18.947,    18.936,    18.826,    19.022,    19.681,    19.628,    19.552,    19.783,    19.456,    19.222,    19.148,    19.057,    18.948,
N2                                    , 41114.000,    16.099,    15.603,    16.106,    16.114,    16.124,    15.962,    16.164,    16.193,    16.218,    16.221,    16.197,    16.120,    16.077,    16.058,    16.064,    16.061,    16.109,    15.963,    15.635,    15.500,    15.561,    15.732,    15.573,    15.802,    15.913,    15.915,    15.962,    16.033,
Dissolved_oxygen                      , 41114.000,     9.688,     9.387,     9.688,     9.690,     9.695,     9.598,     9.721,     9.738,     9.751,     9.751,     9.734,     9.698,     9.683,     9.679,     9.684,     9.679,     9.706,     9.609,     9.396,     9.308,     9.347,     9.441,     9.341,     9.477,     9.524,     9.514,     9.559,     9.587,
Oxyg                                  , 41114.000,   108.966,   105.517,   108.791,   108.666,   108.609,   107.510,   108.969,   109.119,   109.053,   108.750,   108.317,   108.271,   108.503,   108.685,   108.765,   108.681,   108.740,   108.042,   106.584,   106.297,   106.830,   107.086,   106.700,   107.154,   107.165,   107.128,   107.492,   107.495,
TDG(                                  , 41114.000,   108.898,   105.468,   108.766,   108.678,   108.636,   107.532,   108.976,   109.130,   109.088,   108.823,   108.425,   108.267,   108.398,   108.516,   108.568,   108.528,   108.598,   108.863,   109.140,   108.067,   108.797,   110.028,   109.518,   110.020,   109.576,   109.347,   109.573,   109.342,
Temperature, 41115.000,    19.277,    19.257,    19.236,    19.205,    19.176,    19.171,    19.254,    19.352,    19.361,    19.282,    19.140,    18.992,    18.904,    18.846,    18.786,    18.763,    18.663,    18.659,    18.698,    19.342,    19.500,    19.495,    19.709,    19.415,    19.249,    19.225,    19.108,    18.977,
N2                                    , 41115.000,    15.983,    15.489,    15.982,    15.977,    15.976,    15.794,    15.969,    15.974,    15.982,    15.996,    16.011,    16.054,    16.100,    16.123,    16.127,    16.145,    16.092,    16.101,    15.760,    15.473,    15.507,    15.706,    15.598,    15.817,    15.875,    15.840,    15.888,    15.977,
Dissolved_oxygen                      , 41115.000,     9.622,     9.320,     9.614,     9.608,     9.602,     9.488,     9.597,     9.603,     9.607,     9.609,     9.611,     9.634,     9.661,     9.676,     9.679,     9.688,     9.658,     9.673,     9.466,     9.288,     9.310,     9.421,     9.345,     9.474,     9.504,     9.483,     9.524,     9.572,
Oxyg                                  , 41115.000,   109.188,   105.711,   108.985,   108.846,   108.775,   107.672,   109.119,   109.209,   109.082,   108.793,   108.496,   108.563,   108.740,   108.785,   108.772,   108.617,   108.294,   108.527,   107.312,   106.147,   106.591,   107.311,   107.039,   107.625,   107.537,   107.350,   107.609,   107.807,
TDG(                                  , 41115.000,   109.418,   105.968,   109.271,   109.172,   109.143,   108.057,   109.467,   109.528,   109.423,   109.208,   108.990,   109.097,   109.299,   109.355,   109.349,   109.295,   108.961,   109.901,   109.758,   108.314,   108.771,   110.226,   109.897,   111.109,   110.804,   110.024,   110.115,   110.209,
Temperature, 41116.000,    19.062,    19.063,    19.072,    19.086,    19.116,    19.156,    19.310,    19.478,    19.560,    19.539,    19.434,    19.319,    19.384,    19.405,    19.368,    19.364,    19.275,    19.162,    18.962,    19.240,    19.361,    19.310,    19.506,    19.264,    19.211,    19.294,    19.231,    19.130,
N2                                    , 41116.000,    16.006,    15.498,    15.975,    15.953,    15.939,    15.739,    15.893,    15.878,    15.873,    15.879,    15.891,    15.889,    15.896,    15.907,    15.905,    15.929,    15.929,    16.044,    15.843,    15.590,    15.584,    15.732,    15.595,    15.821,    15.873,    15.823,    15.859,    15.909,
Dissolved_oxygen                      , 41116.000,     9.634,     9.327,     9.611,     9.594,     9.581,     9.458,     9.553,     9.549,     9.546,     9.544,     9.541,     9.532,     9.535,     9.541,     9.540,     9.551,     9.549,     9.614,     9.492,     9.339,     9.344,     9.418,     9.331,     9.470,     9.500,     9.474,     9.505,     9.538,
Oxyg                                  , 41116.000,   109.051,   105.595,   108.849,   108.722,   108.662,   107.592,   109.054,   109.182,   109.108,   108.848,   108.564,   108.608,   108.684,   108.690,   108.676,   108.589,   108.379,   108.604,   107.616,   106.554,   106.722,   107.030,   106.711,   107.626,   107.799,   107.676,   107.873,   107.963,
TDG(                                  , 41116.000,   109.330,   105.877,   109.159,   109.063,   109.041,   107.981,   109.387,   109.467,   109.390,   109.199,   109.023,   109.133,   109.268,   109.280,   109.251,   109.239,   109.097,   109.377,   110.094,   109.423,   109.606,   110.692,   110.019,   111.624,   111.726,   111.077,   111.002,   110.766,
Temperature, 41117.000,    18.852,    18.853,    18.857,    18.864,    18.889,    18.922,    19.074,    19.242,    19.328,    19.331,    19.281,    19.234,    19.464,    19.605,    19.650,    19.668,    19.595,    19.552,    19.524,    19.574,    19.576,    19.477,    19.677,    19.387,    19.256,    19.277,    19.179,    19.071,
N2                                    , 41117.000,    16.010,    15.514,    16.000,    15.986,    15.984,    15.795,    15.953,    15.937,    15.925,    15.915,    15.899,    15.842,    15.814,    15.803,    15.794,    15.811,    15.803,    15.826,    15.813,    15.637,    15.565,    15.673,    15.511,    15.754,    15.853,    15.850,    15.901,    15.976,
Dissolved_oxygen                      , 41117.000,     9.631,     9.329,     9.619,     9.609,     9.604,     9.490,     9.592,     9.587,     9.580,     9.565,     9.546,     9.506,     9.489,     9.482,     9.478,     9.482,     9.474,     9.480,     9.467,     9.361,     9.319,     9.367,     9.272,     9.415,     9.471,     9.475,     9.521,     9.575,
Oxyg                                  , 41117.000,   108.830,   105.419,   108.711,   108.653,   108.670,   107.711,   109.238,   109.381,   109.297,   109.025,   108.694,   108.733,   108.869,   108.911,   108.913,   108.751,   108.653,   108.570,   108.382,   107.451,   106.995,   107.097,   106.541,   107.365,   107.701,   107.848,   108.179,   108.503,
TDG(                                  , 41117.000,   109.367,   105.976,   109.300,   109.253,   109.301,   108.325,   109.767,   109.852,   109.776,   109.582,   109.350,   109.605,   109.694,   109.645,   109.676,   109.645,   109.588,   110.069,   110.866,   110.591,   110.355,   111.185,   110.341,   111.856,   112.358,   112.239,   112.456,   112.309,
Temperature, 41118.000,    18.420,    18.409,    18.398,    18.378,    18.398,    18.467,    18.683,    18.890,    19.022,    19.064,    19.044,    19.005,    19.186,    19.365,    19.436,    19.464,    19.435,    19.475,    19.617,    19.719,    19.671,    19.577,    19.679,    19.567,    19.443,    19.432,    19.342,    19.226,
N2                                    , 41118.000,    16.419,    15.898,    16.376,    16.326,    16.275,    16.016,    16.118,    16.042,    15.977,    15.937,    15.920,    15.895,    15.868,    15.855,    15.843,    15.837,    15.796,    15.774,    15.742,    15.647,    15.585,    15.736,    15.492,    15.661,    15.747,    15.740,    15.790,    15.896,
Dissolved_oxygen                      , 41118.000,     9.841,     9.527,     9.814,     9.787,     9.758,     9.605,     9.677,     9.641,     9.607,     9.577,     9.555,     9.536,     9.522,     9.515,     9.508,     9.500,     9.472,     9.454,     9.417,     9.360,     9.320,     9.397,     9.258,     9.352,     9.398,     9.400,     9.436,     9.506,
Oxyg                                  , 41118.000,   109.648,   106.121,   109.277,   109.018,   108.843,   107.607,   108.870,   108.765,   108.473,   108.087,   107.754,   107.934,   108.174,   108.259,   108.253,   108.059,   107.907,   107.926,   107.598,   107.131,   106.703,   107.025,   106.143,   106.508,   106.693,   106.801,   107.016,   107.464,
TDG(                                  , 41118.000,   109.971,   106.454,   109.613,   109.325,   109.131,   107.847,   108.989,   108.770,   108.433,   108.106,   107.884,   108.096,   108.412,   108.448,   108.368,   108.322,   108.177,   108.601,   108.773,   108.266,   109.017,   110.134,   108.921,   109.918,   110.174,   110.015,   110.235,   110.335,
Temperature, 41119.000,    18.280,    18.269,    18.259,    18.246,    18.242,    18.254,    18.355,    18.487,    18.566,    18.574,    18.528,    18.452,    18.673,    18.905,    19.031,    19.089,    19.133,    19.168,    19.274,    19.512,    19.476,    19.449,    19.687,    19.555,    19.477,    19.538,    19.533,    19.454,
N2                                    , 41119.000,    16.644,    16.122,    16.621,    16.593,    16.565,    16.347,    16.498,    16.458,    16.412,    16.360,    16.321,    16.179,    16.048,    15.968,    15.929,    15.891,    15.850,    15.832,    15.766,    15.729,    15.630,    15.681,    15.496,    15.687,    15.741,    15.684,    15.711,    15.768,
Dissolved_oxygen                      , 41119.000,     9.997,     9.675,     9.966,     9.944,     9.925,     9.790,     9.881,     9.861,     9.836,     9.800,     9.767,     9.685,     9.615,     9.574,     9.553,     9.528,     9.501,     9.487,     9.442,     9.406,     9.344,     9.363,     9.255,     9.359,     9.385,     9.358,     9.382,     9.417,
Oxyg                                  , 41119.000,   110.835,   107.237,   110.435,   110.184,   110.008,   108.733,   110.042,   110.003,   109.736,   109.233,   108.685,   108.251,   107.993,   107.823,   107.711,   107.511,   107.346,   107.336,   107.220,   107.015,   106.474,   106.441,   105.827,   106.472,   106.594,   106.481,   106.665,   106.770,
TDG(                                  , 41119.000,   111.249,   107.717,   111.001,   110.790,   110.631,   109.380,   110.669,   110.581,   110.291,   109.835,   109.382,   108.956,   108.641,   108.314,   108.155,   108.051,   107.929,   108.419,   108.785,   108.651,   108.569,   109.222,   108.507,   109.734,   109.771,   109.390,   109.386,   109.252,
Temperature, 41120.000,    18.260,    18.253,    18.251,    18.245,    18.239,    18.250,    18.353,    18.462,    18.505,    18.479,    18.397,    18.315,    18.453,    18.544,    18.606,    18.641,    18.636,    18.653,    18.852,    19.183,    19.284,    19.350,    19.583,    19.484,    19.422,    19.495,    19.496,    19.438,
N2                                    , 41120.000,    16.446,    15.946,    16.455,    16.457,    16.474,    16.321,    16.524,    16.538,    16.548,    16.545,    16.531,    16.460,    16.404,    16.345,    16.312,    16.280,    16.208,    16.088,    15.891,    15.736,    15.612,    15.680,    15.510,    15.694,    15.743,    15.711,    15.740,    15.802,
Dissolved_oxygen                      , 41120.000,     9.896,     9.589,     9.893,     9.892,     9.895,     9.794,     9.918,     9.929,     9.933,     9.922,     9.899,     9.846,     9.809,     9.774,     9.756,     9.734,     9.690,     9.621,     9.507,     9.418,     9.332,     9.361,     9.259,     9.358,     9.380,     9.362,     9.388,     9.426,
Oxyg                                  , 41120.000,   109.952,   106.535,   109.893,   109.870,   109.928,   109.041,   110.666,   110.891,   110.875,   110.552,   110.114,   109.829,   109.633,   109.375,   109.257,   108.980,   108.563,   108.170,   107.443,   106.980,   106.329,   106.457,   105.942,   106.579,   106.688,   106.679,   106.959,   107.169,
TDG(                                  , 41120.000,   110.299,   106.924,   110.313,   110.315,   110.433,   109.607,   111.205,   111.397,   111.403,   111.180,   110.876,   110.704,   110.575,   110.232,   110.107,   109.925,   109.466,   110.085,   109.746,   108.929,   108.444,   109.357,   108.789,   110.001,   110.099,   109.894,   110.005,   109.928,
Temperature, 41121.000,    18.208,    18.186,    18.162,    18.139,    18.157,    18.220,    18.376,    18.499,    18.523,    18.468,    18.388,    18.350,    18.488,    18.562,    18.563,    18.524,    18.494,    18.492,    18.700,    19.054,    19.142,    19.235,    19.463,    19.402,    19.299,    19.301,    19.296,    19.229,
N2                                    , 41121.000,    16.357,    15.860,    16.360,    16.342,    16.327,    16.139,    16.313,    16.313,    16.323,    16.340,    16.368,    16.408,    16.437,    16.446,    16.456,    16.447,    16.421,    16.292,    16.059,    15.784,    15.664,    15.785,    15.544,    15.727,    15.804,    15.780,    15.803,    15.886,
Dissolved_oxygen                      , 41121.000,     9.843,     9.541,     9.839,     9.827,     9.813,     9.696,     9.807,     9.813,     9.816,     9.815,     9.818,     9.835,     9.848,     9.850,     9.854,     9.839,     9.817,     9.737,     9.595,     9.434,     9.365,     9.417,     9.268,     9.368,     9.410,     9.398,     9.419,     9.465,
Oxyg                                  , 41121.000,   109.062,   105.661,   108.911,   108.811,   108.802,   107.849,   109.364,   109.485,   109.390,   109.199,   109.153,   109.649,   109.967,   109.995,   109.965,   109.699,   109.505,   108.990,   107.930,   106.790,   106.363,   106.613,   105.800,   106.276,   106.492,   106.522,   106.714,   107.007,
TDG(                                  , 41121.000,   109.179,   105.803,   109.078,   108.991,   109.017,   108.077,   109.517,   109.586,   109.527,   109.447,   109.522,   110.086,   110.502,   110.582,   110.542,   110.479,   110.274,   110.893,   110.289,   108.694,   108.409,   109.534,   108.489,   109.385,   109.567,   109.482,   109.615,   109.595,
Temperature, 41122.000,    18.404,    18.378,    18.354,    18.328,    18.319,    18.340,    18.428,    18.499,    18.485,    18.401,    18.295,    18.270,    18.461,    18.529,    18.505,    18.502,    18.526,    18.496,    18.660,    19.072,    19.165,    19.202,    19.422,    19.256,    19.132,    19.125,    19.077,    18.997,
N2                                    , 41122.000,    16.443,    15.946,    16.437,    16.404,    16.375,    16.172,    16.329,    16.302,    16.277,    16.268,    16.263,    16.239,    16.241,    16.258,    16.263,    16.282,    16.323,    16.290,    16.019,    15.709,    15.704,    15.897,    15.681,    15.863,    15.914,    15.873,    15.896,    15.967,
Dissolved_oxygen                      , 41122.000,     9.887,     9.579,     9.867,     9.848,     9.834,     9.714,     9.812,     9.798,     9.781,     9.767,     9.757,     9.744,     9.745,     9.752,     9.753,     9.757,     9.774,     9.749,     9.581,     9.392,     9.384,     9.484,     9.356,     9.433,     9.458,     9.442,     9.468,     9.507,
Oxyg                                  , 41122.000,   109.861,   106.373,   109.517,   109.289,   109.182,   108.048,   109.300,   109.111,   108.736,   108.346,   108.176,   108.454,   108.625,   108.659,   108.665,   108.742,   108.926,   108.945,   107.675,   106.254,   106.446,   107.102,   106.372,   106.519,   106.536,   106.460,   106.636,   106.825,
TDG(                                  , 41122.000,   110.045,   106.643,   109.846,   109.602,   109.469,   108.304,   109.512,   109.306,   108.964,   108.659,   108.556,   108.821,   109.012,   109.057,   109.071,   109.341,   109.514,   110.306,   109.965,   108.169,   108.575,   110.051,   109.086,   109.792,   109.617,   109.448,   109.587,   109.318,
Temperature, 41123.000,    18.367,    18.346,    18.319,    18.298,    18.318,    18.374,    18.508,    18.607,    18.615,    18.547,    18.445,    18.400,    18.474,    18.472,    18.433,    18.433,    18.401,    18.442,    18.566,    18.989,    19.077,    19.139,    19.312,    19.188,    19.052,    18.993,    18.940,    18.874,
N2                                    , 41123.000,    16.557,    16.059,    16.556,    16.527,    16.498,    16.282,    16.433,    16.406,    16.380,    16.353,    16.330,    16.272,    16.234,    16.212,    16.199,    16.200,    16.171,    16.162,    15.909,    15.626,    15.667,    15.906,    15.691,    15.950,    16.052,    15.983,    16.022,    16.077,
Dissolved_oxygen                      , 41123.000,     9.944,     9.640,     9.933,     9.912,     9.891,     9.763,     9.862,     9.852,     9.834,     9.810,     9.788,     9.756,     9.735,     9.721,     9.713,     9.707,     9.689,     9.683,     9.522,     9.346,     9.366,     9.491,     9.364,     9.497,     9.532,     9.489,     9.527,     9.557,
Oxyg                                  , 41123.000,   110.581,   107.142,   110.340,   110.144,   110.041,   108.931,   110.259,   110.158,   109.805,   109.301,   108.968,   108.780,   108.535,   108.305,   108.215,   108.068,   107.998,   108.163,   107.020,   105.679,   106.245,   107.161,   106.485,   107.215,   107.243,   106.847,   107.166,   107.242,
TDG(                                  , 41123.000,   110.845,   107.448,   110.699,   110.533,   110.451,   109.297,   110.544,   110.393,   110.067,   109.653,   109.384,   109.163,   108.926,   108.697,   108.619,   108.587,   108.529,   109.341,   109.203,   107.606,   108.254,   109.905,   108.969,   110.198,   110.340,   109.781,   109.998,   109.695,
